Name,body type,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,,15.32663265,mean 2 seats
Ambassador,sedan,19,80000,Diesel,Manual,Third,12.8 kmpl,1489 CC,35.5 bhp,5,1.35,,20.45375,mean 4 seats
Audi,sedan,8,79271,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,5,16.5,,9.245598417,mean 5 seats
Audi,sedan,6,20003,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,5,19.25,,9.980413223,mean 6+
Audi,sedan,6,39000,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,5,18.9,,,
Audi,sedan,5,22000,Diesel,Automatic,Second,20.38 kmpl,1968 CC,143 bhp,5,22.5,,,
Audi,sedan,12,38001,Petrol,Automatic,First,12.3 kmpl,1781 CC,163.2 bhp,5,8.5,,,
Audi,sedan,11,53000,Petrol,Automatic,First,12.3 kmpl,1781 CC,163.2 bhp,5,9.5,,,
Audi,sedan,10,80000,Petrol,Automatic,First,15.64 kmpl,1798 CC,167.62 bhp,5,17.5,,,
Audi,sedan,11,46000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,10.99,,,
Audi,sedan,10,47346,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,4,14.5,,,
Audi,sedan,13,34000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,9.95,,,
Audi,sedan,9,36000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,14,,,
Audi,sedan,9,45330,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,13.19,,,
Audi,sedan,9,82002,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,17.5,,,
Audi,sedan,9,67000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,14.5,,,
Audi,sedan,9,45200,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,7,13.5,,,
Audi,sedan,8,60000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,24,,,
Audi,sedan,11,85000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,13.95,,,
Audi,sedan,9,76000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,18.25,,,
Audi,sedan,9,52000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,7,19.5,,,
Audi,sedan,11,54000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,7,18,,,
Audi,sedan,8,55730,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,15.21,,,
Audi,sedan,13,46000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,9.95,,,
Audi,sedan,13,46000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,8.5,,,
Audi,sedan,8,37600,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,22.5,,,
Audi,sedan,7,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,21.43,,,
Audi,sedan,7,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,7,23.32,,,
Audi,sedan,9,45979,Diesel,Automatic,Second,17.11 kmpl,1968 CC,174.33 bhp,5,19.5,,,
Audi,sedan,8,77395,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,2,14.35,,,
Audi,sedan,8,21000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,24.5,,,
Audi,sedan,8,70000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,7,18,,,
Audi,sedan,9,87000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,15.5,,,
Audi,sedan,8,57773,Diesel,Automatic,Second,17.11 kmpl,1968 CC,174.33 bhp,7,20.04,,,
Audi,sedan,7,32205,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25.31,,,
Audi,sedan,9,60001,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,14.5,,,
Audi,sedan,8,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,7,22.5,,,
Audi,sedan,8,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,17.5,,,
Audi,sedan,9,88000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,16.25,,,
Audi,sedan,8,29063,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25.75,,,
Audi,sedan,8,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,7,22,,,
Audi,sedan,8,24000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25,,,
Audi,sedan,8,29000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,26,,,
Audi,sedan,11,57000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,9.75,,,
Audi,sedan,10,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,13.5,,,
Audi,sedan,11,59000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,12.5,,,
Audi,sedan,11,105000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,140 bhp,5,14.5,,,
Audi,sedan,8,53000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,4,20.5,,,
Audi,sedan,10,74002,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,18.5,,,
Audi,sedan,12,59000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,10,,,
Audi,sedan,13,88000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,7.98,,,
Audi,sedan,11,58000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,11,,,
Audi,sedan,7,13000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,23,,,
Audi,sedan,10,88000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,16.25,,,
Audi,sedan,7,21979,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,23.45,,,
Audi,sedan,7,44811,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,7,25.81,,,
Audi,sedan,11,38000,Petrol,Automatic,First,10.8 kmpl,1984 CC,132 bhp,7,12,,,
Audi,sedan,7,35463,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,7,25.02,,,
Audi,sedan,8,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,24.5,,,
Audi,sedan,12,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,9.8,,,
Audi,sedan,10,46913,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,16.11,,,
Audi,sedan,10,125000,Petrol,Automatic,First,10.5 kmpl,3197 CC,261 bhp,5,18,,,
Audi,sedan,5,61221,Petrol,Automatic,First,17.84 kmpl,1395 CC,147.51 bhp,2,21.73,,,
Audi,sedan,6,68193,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,24.74,,,
Audi,sedan,7,50000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25,,,
Audi,sedan,6,39644,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,7,25.75,,,
Audi,sedan,6,39237,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25.64,,,
Audi,sedan,7,58970,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,23.75,,,
Audi,sedan,7,60000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,25,,,
Audi,sedan,7,13506,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,21.66,,,
Audi,sedan,8,28469,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,7,24.37,,,
Audi,sedan,9,58629,Diesel,Automatic,Second,18.25 kmpl,1968 CC,187.74 bhp,7,16.52,,,
Audi,sedan,6,11000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,7,28,,,
Audi,sedan,7,45000,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,25,,,
Audi,sedan,5,14000,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,43,,,
Audi,sedan,3,38163,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,32.91,,,
Audi,sedan,7,30000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,27,,,
Audi,sedan,9,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,17.74,,,
Audi,sedan,10,60000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,10.35,,,
Audi,sedan,10,44555,Diesel,Automatic,First,15.2 kmpl,1968 CC,140.8 bhp,5,13.5,,,
Audi,sedan,10,69000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,10.25,,,
Audi,sedan,10,60000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,16,,,
Audi,sedan,10,60000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,10.2,,,
Audi,sedan,14,17000,Diesel,Automatic,First,15.2 kmpl,1968 CC,140.8 bhp,5,9.75,,,
Audi,sedan,8,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5,29.5,,,
Audi,sedan,8,48000,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,29,,,
Audi,sedan,10,27090,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,16.5,,,
Audi,sedan,12,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,11.5,,,
Audi,sedan,13,30000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,8.95,,,
Audi,sedan,9,90000,Diesel,Automatic,Second,12.4 kmpl,2698 CC,179.5 bhp,5,22.5,,,
Audi,sedan,13,78000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,8,,,
Audi,sedan,11,112719,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,11.5,,,
Audi,sedan,12,35010,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,11.5,,,
Audi,sedan,14,41000,Petrol,Automatic,Second,10.4 kmpl,2773 CC,201 bhp,5,10.5,,,
Audi,sedan,9,70181,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,23.99,,,
Audi,sedan,8,62012,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,20.12,,,
Audi,sedan,9,70998,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,20.57,,,
Audi,sedan,8,54862,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,7,16.67,,,
Audi,sedan,9,91903,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,17.56,,,
Audi,sedan,10,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,19,,,
Audi,sedan,8,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,22.95,,,
Audi,sedan,8,61726,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,20.77,,,
Audi,sedan,8,51495,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,21.95,,,
Audi,sedan,10,202082,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,12.3,,,
Audi,sedan,8,49964,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,23.89,,,
Audi,sedan,9,31000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,18.95,,,
Audi,sedan,8,57456,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,21.56,,,
Audi,sedan,8,66882,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,25.02,,,
Audi,sedan,8,58000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,7,18.5,,,
Audi,sedan,9,56500,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,19.8,,,
Audi,sedan,10,50000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,7,17.5,,,
Audi,sedan,9,85000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,7,21,,,
Audi,sedan,7,31652,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,26.78,,,
Audi,sedan,10,50001,Diesel,Automatic,First,14.57 kmpl,2967 CC,241.38 bhp,5,29,,,
Audi,sedan,4,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,7,39.58,,,
Audi,sedan,5,41041,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,37.56,,,
Audi,sedan,7,42000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,24.25,,,
Audi,sedan,7,50000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,36,,,
